Organ and Organ Systems,Disease States,Primary Peptide,Secondary Peptide,Primary Formula,Secondary Formula,Support Formula 2,Support Formula 3,Support Formula 4,,
Skin,Acne,GHKcu/Glow,KPV,Angel Face Face Wash,O GUARD - EFA Supplement,Total Body Cleanse,,,,
Endocrine,Adrenal Glands,BPC157 - Selank,TB500,AG-GUARD,PCR-HGH,Asian Tea Blend,,,,
Infectious Disease /Viral,Aids (see HIV positive),Thymosin Alpha-1 (Tα1),LL37,V-GUARD - Immune Booster,VC-GUARD - VC and CoQ10,,,,,
Immune system,Allergies,Thymosin Alpha-1 (Tα1),,A-GUARD - Alkalinity Greens,Bee Pollen,MN-GUARD,,,,
Circulatory,Anemia,TB 500 / LL37 / BPC 157,Thymosin Alpha-1 (Tα1),Liquid Iron - Collodial Mineral,,,,,,
Circulatory,Angina Pain,BPC 157 / TB500,Epithalon / CJC-1295 + Ipamorelin,CL-GUARD - Cholesterol Health,VC-GUARD - VC and CoQ10,CF-GUARD - Circulation Relief,,,,
Infectious Disease / Bacterial,Antibiotic/Antimicrobial,LL37 / TA1,,V-GUARD - Herpes Relief,HB-GUARD - Herbal Bismol,H-GUARD - Blood Cleanser,F-GUARD - Flora Complex,,,
Infectious Disease / fungus and yeast,Anti-Fungal,BPC 157 / TA 1 / LL37,Glutathione ,C-GUARD - Candida Formula,B-GUARD - Bowel Cleanser,Boost Energy Drink,,,,
Inflammation ,Anti-Inflammatory,BPC 157 / TB500,LL37 / Selank / Epithalon,R-GUARD - Arthritis Formla,J-GUARD - Joint Support,MC Roll On,A-GUARD - Alkalinity Greens,MC Ointment Crème,,
Infectious Disease /Viral,Anti-viral,Thymosin Alpha-1 (Tα1),LL37,V-GUARD - Immune Support,Liquid Iron - Collodial Mineral,X-GUARD - Anxiety/Depression,A-GUARD - Alkalinity Greens,,,
Brain/Mood,Anxiety,Selank / DSIP / Oxytocin /,Epithalon /CJC-1295 + Ipamorelin / BPC 157 / Semax,X-GUARD - Anxiety/Depression,A-GUARD - Alkalinity Greens,Azteca CBD Shot,,,,
Circulatory,Arteriosclerosis,BPC 157 / TB500,Epithalon / CJC-1295 + Ipamorelin / LL37,CL-GUARD - Cholesterol Health,O-GUARD - EFA Oil,N-GUARD -Enzyme Complex,MC Roll On,,,
